"_id","type","properties","geometry"
"65f9adad8419e9b6fab8ff9a","Feature","{""fid"":1338,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":27947.4684137292,""y"":30664.5394183006,""LONG"":103.8328465605,""LAT"":1.2935937137,""COORD"":""(1.2935937137, 103.8328465605)""}","{""type"":""Point"",""coordinates"":[103.83284656049872,1.293593713704035]}"
"65f9adad8419e9b6fab8ff9b","Feature","{""fid"":1668,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29346.46411373,""y"":29932.7659183014,""LONG"":103.8454171037,""LAT"":1.2869757825,""COORD"":""(1.2869757825, 103.8454171037)""}","{""type"":""Point"",""coordinates"":[103.8454171036801,1.286975782466681]}"
"65f9adad8419e9b6fab8ff9c","Feature","{""fid"":2018,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29811.3310137298,""y"":30951.4450183008,""LONG"":103.8495941792,""LAT"":1.2961883346,""COORD"":""(1.2961883346, 103.8495941792)""}","{""type"":""Point"",""coordinates"":[103.84959417915857,1.296188334585058]}"
"65f9adad8419e9b6fab8ff9d","Feature","{""fid"":2246,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29449.0016137296,""y"":29830.694918301,""LONG"":103.8463384399,""LAT"":1.2860526836,""COORD"":""(1.2860526836, 103.8463384399)""}","{""type"":""Point"",""coordinates"":[103.84633843987986,1.286052683634301]}"
"65f9adad8419e9b6fab8ff9e","Feature","{""fid"":2309,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":28751.5269137295,""y"":30196.2290183008,""LONG"":103.8400713587,""LAT"":1.2893584701,""COORD"":""(1.2893584701, 103.8400713587)""}","{""type"":""Point"",""coordinates"":[103.84007135872322,1.289358470066724]}"
"65f9adad8419e9b6fab8ff9f","Feature","{""fid"":2365,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29695.3587137293,""y"":30355.7942182999,""LONG"":103.8485520853,""LAT"":1.2908014848,""COORD"":""(1.2908014848, 103.8485520853)""}","{""type"":""Point"",""coordinates"":[103.84855208534808,1.290801484833373]}"
"65f9adad8419e9b6fab8ffa0","Feature","{""fid"":2376,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29782.940313729505,""y"":29810.8992183004,""LONG"":103.8493390118,""LAT"":1.2858736411,""COORD"":""(1.2858736411, 103.8493390118)""}","{""type"":""Point"",""coordinates"":[103.84933901182845,1.285873641118206]}"
"65f9adad8419e9b6fab8ffa1","Feature","{""fid"":2552,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29198.6914137295,""y"":30948.9924183004,""LONG"":103.8440893449,""LAT"":1.2961661837,""COORD"":""(1.2961661837, 103.8440893449)""}","{""type"":""Point"",""coordinates"":[103.84408934488705,1.296166183682389]}"
"65f9adad8419e9b6fab8ffa2","Feature","{""fid"":2566,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":28404.9087137291,""y"":30166.5469183009,""LONG"":103.8369568508,""LAT"":1.289090042,""COORD"":""(1.289090042, 103.8369568508)""}","{""type"":""Point"",""coordinates"":[103.83695685079054,1.289090041957191]}"
"65f9adad8419e9b6fab8ffa3","Feature","{""fid"":3028,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29084.6289137295,""y"":30510.3355183005,""LONG"":103.8430644284,""LAT"":1.2921991291,""COORD"":""(1.2921991291, 103.8430644284)""}","{""type"":""Point"",""coordinates"":[103.84306442842147,1.292199129120116]}"
