"_id","type","properties","geometry"
"65f1a72d24cfb376c41da3bf","Feature","{""GRID_ID"":""R-6"",""ORIGIN_ID"":91,""LAT"":1.29534323,""LONG"":103.850463871,""COORD"":""(103.850463871, 1.29534323)""}","{""type"":""Point"",""coordinates"":[103.85046387100004,1.295343230000071]}"
"65f1a72d24cfb376c41da3c6","Feature","{""GRID_ID"":""M-5"",""ORIGIN_ID"":98,""LAT"":1.296026735,""LONG"":103.844544539,""COORD"":""(103.844544539, 1.296026735)""}","{""type"":""Point"",""coordinates"":[103.84454453900008,1.296026735000055]}"
"65f1a72d24cfb376c41da3c7","Feature","{""GRID_ID"":""N-5"",""ORIGIN_ID"":99,""LAT"":1.296710241,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.296710241)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.296710241000028]}"
"65f1a72d24cfb376c41da3cb","Feature","{""GRID_ID"":""R-5"",""ORIGIN_ID"":103,""LAT"":1.296710241,""LONG"":103.850463871,""COORD"":""(103.850463871, 1.296710241)""}","{""type"":""Point"",""coordinates"":[103.85046387100004,1.296710241000028]}"
"65f1a72d24cfb376c41da3d0","Feature","{""GRID_ID"":""M-4"",""ORIGIN_ID"":108,""LAT"":1.297393747,""LONG"":103.844544539,""COORD"":""(103.844544539, 1.297393747)""}","{""type"":""Point"",""coordinates"":[103.84454453900008,1.297393747000058]}"
"65f1a72d24cfb376c41da3d3","Feature","{""GRID_ID"":""P-4"",""ORIGIN_ID"":111,""LAT"":1.298077252,""LONG"":103.848096138,""COORD"":""(103.848096138, 1.298077252)""}","{""type"":""Point"",""coordinates"":[103.84809613800007,1.298077252000041]}"
"65f1a72d24cfb376c41da3d4","Feature","{""GRID_ID"":""Q-4"",""ORIGIN_ID"":112,""LAT"":1.297393747,""LONG"":103.849280005,""COORD"":""(103.849280005, 1.297393747)""}","{""type"":""Point"",""coordinates"":[103.84928000500008,1.297393747000058]}"
"65f1a72d24cfb376c41da3d6","Feature","{""GRID_ID"":""S-4"",""ORIGIN_ID"":114,""LAT"":1.297393747,""LONG"":103.851647738,""COORD"":""(103.851647738, 1.297393747)""}","{""type"":""Point"",""coordinates"":[103.85164773800005,1.297393747000058]}"
"65f1a72d24cfb376c41da3d8","Feature","{""GRID_ID"":""K-3"",""ORIGIN_ID"":116,""LAT"":1.298760758,""LONG"":103.842176806,""COORD"":""(103.842176806, 1.298760758)""}","{""type"":""Point"",""coordinates"":[103.84217680600005,1.298760758000071]}"
"65f1a72d24cfb376c41da369","Feature","{""GRID_ID"":""R-13"",""ORIGIN_ID"":5,""LAT"":1.285774151,""LONG"":103.850463871,""COORD"":""(103.850463871, 1.285774151)""}","{""type"":""Point"",""coordinates"":[103.85046387100004,1.285774151000055]}"
